iter	Passed	Remaining
222	414	1445
223	416	1442
224	417	1438
225	418	1434
226	420	1430
227	421	1425
228	422	1421
229	423	1416
230	424	1412
231	425	1408
232	426	1403
233	427	1399
234	428	1395
235	430	1392
236	431	1388
237	432	1385
238	433	1381
239	435	1377
240	436	1373
241	437	1369
242	438	1364
243	439	1361
244	441	1359
245	442	1356
246	443	1353
247	445	1349
248	446	1345
249	447	1341
250	448	1338
251	449	1334
252	450	1330
253	451	1326
254	452	1322
255	453	1318
256	454	1314
257	455	1310
258	456	1306
259	457	1302
260	458	1298
261	459	1294
262	460	1289
263	461	1286
264	462	1282
265	463	1279
266	464	1275
267	465	1272
268	466	1268
269	467	1264
270	468	1260
271	469	1256
272	470	1253
273	471	1249
274	472	1245
275	473	1241
276	474	1238
277	475	1234
278	476	1231
279	477	1228
280	478	1224
281	479	1221
282	480	1217
283	481	1213
284	482	1210
285	483	1206
286	484	1202
287	485	1199
288	486	1195
289	486	1192
290	487	1188
291	489	1186
292	490	1183
293	491	1180
294	492	1177
295	493	1174
296	494	1171
297	495	1167
298	496	1164
299	497	1161
300	498	1157
301	499	1154
302	500	1151
303	501	1148
304	502	1145
305	503	1143
306	505	1140
307	506	1137
308	507	1134
309	508	1132
310	509	1128
311	510	1125
312	511	1122
313	512	1119
314	513	1116
315	514	1113
316	515	1110
317	516	1106
318	517	1104
319	518	1101
320	519	1098
321	520	1095
322	521	1092
323	522	1089
324	523	1086
325	524	1083
326	525	1081
327	526	1079
328	528	1077
329	535	1087
330	538	1088
331	540	1087
332	542	1085
333	543	1082
334	543	1079
335	544	1077
336	545	1074
337	547	1071
338	548	1069
339	549	1067
340	551	1064
341	552	1063
342	553	1060
343	554	1057
344	555	1054
345	556	1051
346	557	1048
347	558	1046
348	559	1043
349	560	1040
350	561	1037
351	562	1035
352	563	1032
353	564	1030
354	565	1027
355	566	1025
356	567	1022
357	568	1019
358	569	1017
359	570	1014
360	572	1012
361	573	1010
362	574	1007
363	575	1005
364	576	1003
365	577	1000
366	578	998
367	579	995
368	580	993
369	581	990
370	583	988
371	584	986
372	585	984
373	586	981
374	587	979
375	588	976
376	589	974
377	590	972
378	592	970
379	593	968
380	594	966
381	595	963
382	596	961
383	597	958
384	598	956
385	599	953
386	600	950
387	601	948
388	602	945
389	603	943
390	604	940
391	605	938
392	605	935
393	606	933
394	607	931
395	608	928
396	609	926
397	610	923
398	611	921
399	612	918
400	613	916
401	614	914
402	615	911
403	616	909
404	617	907
405	618	905
406	619	903
407	620	900
408	621	898
409	622	895
410	623	893
411	624	891
412	625	888
413	626	886
414	627	884
415	628	882
416	629	879
417	630	877
418	631	874
419	632	872
420	633	870
421	634	868
422	635	866
423	636	864
424	637	862
425	638	860
426	639	858
427	640	855
428	641	853
429	642	851
430	642	848
431	643	846
432	644	844
433	645	842
434	646	839
435	647	837
436	648	835
437	649	833
438	650	830
439	651	828
440	652	826
441	653	824
442	653	822
443	654	819
444	655	817
445	656	815
446	657	813
447	658	811
448	659	809
449	660	807
450	661	805
451	663	803
452	667	805
453	669	804
454	670	803
455	672	801
456	673	799
457	674	797
458	674	795
459	675	793
460	677	791
461	678	789
462	679	787
463	680	785
464	681	783
465	682	781
466	686	783
467	687	781
468	688	779
469	689	777
470	690	775
471	691	773
472	692	771
473	693	769
474	693	766
475	694	764
476	695	762
477	696	760
478	697	758
479	698	756
480	698	754
481	699	752
482	700	750
483	701	747
484	702	745
485	703	744
486	705	742
487	705	740
488	707	738
489	708	737
490	709	735
491	710	733
492	711	731
493	712	730
494	713	728
495	714	726
496	716	724
497	717	722
498	718	721
499	719	719
500	723	720
501	724	718
502	725	717
503	728	717
504	729	715
505	731	713
506	732	711
507	734	710
508	735	709
509	736	707
510	737	705
511	738	703
512	739	702
513	740	700
514	742	699
515	743	697
516	745	696
517	746	694
518	747	692
519	748	691
520	750	689
521	751	687
522	752	686
523	753	684
524	754	682
525	756	681
526	757	679
527	760	679
528	761	678
529	763	676
530	767	677
531	769	676
532	770	675
533	771	673
534	772	671
535	774	670
536	775	668
537	777	667
538	779	666
539	781	665
540	782	664
541	784	662
542	785	661
543	787	660
544	788	658
545	790	657
546	797	660
547	798	658
548	799	657
549	801	655
550	804	655
551	806	654
552	808	653
553	809	652
554	812	651
555	813	649
556	815	648
557	816	646
558	817	644
559	818	643
560	820	641
561	821	640
562	822	638
563	823	636
564	825	635
565	826	633
566	827	632
567	829	630
568	830	629
569	831	627
570	832	625
571	834	624
572	835	622
573	839	623
574	841	621
575	842	620
576	843	618
577	844	616
578	845	615
579	847	613
580	848	611
581	849	610
582	853	610
583	855	609
584	856	607
585	858	606
586	859	604
587	860	602
588	861	601
589	863	599
590	865	598
591	866	597
592	868	595
593	869	594
594	871	592
595	872	591
596	874	590
597	876	589
598	878	588
599	884	589
600	887	588
601	888	587
602	892	587
603	894	586
604	896	585
605	898	584
606	900	582
607	902	581
608	903	580
609	905	578
610	907	577
611	908	575
612	909	574
613	916	576
614	920	576
615	921	574
616	923	573
617	924	571
618	926	570
619	927	568
620	929	567
621	930	565
622	931	563
623	933	562
624	934	560
625	935	559
626	936	557
627	937	555
628	939	554
629	941	552
630	942	551
631	943	549
632	944	547
633	946	546
634	947	544
635	948	543
636	950	541
637	951	539
638	952	538
639	953	536
640	955	535
641	956	533
642	957	531
643	959	530
644	960	528
645	961	526
646	962	524
647	963	523
648	964	521
649	966	520
650	967	518
651	969	517
652	971	516
653	973	514
654	976	514
655	977	512
656	979	511
657	980	509
658	982	508
659	985	507
660	987	506
661	988	504
662	990	503
663	991	501
664	992	500
665	994	498
666	995	497
667	997	495
668	999	494
669	1000	492
670	1001	491
671	1003	489
672	1004	488
673	1006	486
674	1007	485
675	1008	483
676	1009	481
677	1014	481
678	1016	480
679	1019	479
680	1020	478
681	1022	476
682	1023	475
683	1025	473
684	1027	472
685	1030	471
686	1031	469
687	1032	468
688	1033	466
689	1034	464
690	1036	463
691	1038	462
692	1039	460
693	1041	459
694	1042	457
695	1043	455
696	1044	454
697	1045	452
698	1046	450
699	1047	448
700	1048	447
701	1049	445
702	1050	443
703	1051	442
704	1052	440
705	1053	438
706	1054	436
707	1055	435
708	1056	433
709	1058	432
710	1059	430
711	1060	428
712	1061	427
713	1062	425
714	1063	423
715	1064	422
716	1065	420
717	1066	418
718	1067	417
719	1068	415
720	1069	413
721	1071	412
722	1072	410
723	1073	409
724	1074	407
725	1075	405
726	1076	404
727	1077	402
728	1078	400
729	1079	399
730	1080	397
731	1081	395
732	1082	394
733	1083	392
734	1085	391
735	1086	389
736	1087	387
737	1088	386
738	1089	384
739	1090	383
740	1091	381
741	1092	379
742	1093	378
743	1094	376
744	1095	374
745	1096	373
746	1097	371
747	1098	370
748	1099	368
749	1101	367
750	1102	365
751	1103	363
752	1103	362
753	1104	360
754	1105	358
755	1106	357
756	1107	355
757	1108	353
758	1109	352
759	1110	350
760	1111	349
761	1114	348
762	1115	346
763	1116	344
764	1117	343
765	1118	341
766	1119	340
767	1120	338
768	1121	336
769	1122	335
770	1123	333
771	1124	332
772	1125	330
773	1128	329
774	1129	327
775	1131	326
776	1132	325
777	1133	323
778	1134	321
779	1135	320
780	1136	318
781	1137	317
782	1138	315
783	1139	313
784	1142	312
785	1144	311
786	1145	309
787	1146	308
788	1147	306
789	1148	305
790	1149	303
791	1150	302
792	1151	300
793	1152	299
794	1153	297
795	1154	295
796	1158	295
797	1159	293
798	1161	292
799	1162	290
800	1163	289
801	1165	287
802	1166	286
803	1167	284
804	1169	283
805	1171	281
806	1176	281
807	1179	280
808	1180	278
809	1181	277
810	1182	275
811	1183	274
812	1186	272
813	1187	271
814	1188	269
815	1189	268
816	1191	266
817	1191	265
818	1192	263
819	1194	262
820	1195	260
821	1196	259
822	1197	257
823	1203	257
824	1204	255
825	1206	254
826	1207	252
827	1208	251
828	1209	249
829	1210	247
830	1212	246
831	1214	245
832	1215	243
833	1216	242
834	1218	240
835	1219	239
836	1221	237
837	1222	236
838	1223	234
839	1224	233
840	1229	232
841	1230	230
842	1231	229
843	1232	227
844	1233	226
845	1234	224
846	1235	223
847	1236	221
848	1237	220
849	1238	218
850	1239	216
851	1242	215
852	1245	214
853	1246	213
854	1248	211
855	1249	210
856	1249	208
857	1250	207
858	1252	205
859	1253	204
860	1254	202
861	1258	201
862	1259	200
863	1261	198
864	1262	196
865	1263	195
866	1264	193
867	1266	192
868	1269	191
869	1271	189
870	1273	188
871	1274	187
872	1275	185
873	1276	184
874	1277	182
875	1279	181
876	1280	179
877	1282	178
878	1283	176
879	1285	175
880	1287	173
881	1290	172
882	1292	171
883	1293	169
884	1298	168
885	1299	167
886	1301	165
887	1302	164
888	1305	163
889	1307	161
890	1309	160
891	1310	158
892	1313	157
893	1314	155
894	1315	154
895	1316	152
896	1319	151
897	1321	150
898	1322	148
899	1327	147
900	1328	146
901	1334	144
902	1337	143
903	1341	142
904	1343	140
905	1344	139
906	1345	137
907	1346	136
908	1347	134
909	1348	133
910	1349	131
911	1350	130
912	1351	128
913	1352	127
914	1353	125
915	1355	124
916	1356	122
917	1358	121
918	1359	119
919	1360	118
920	1361	116
921	1362	115
922	1363	113
923	1364	112
924	1366	110
925	1368	109
926	1370	107
927	1372	106
928	1373	104
929	1374	103
930	1376	102
931	1377	100
932	1379	99
933	1380	97
934	1381	96
935	1384	94
936	1386	93
937	1387	91
938	1389	90
939	1391	88
940	1392	87
941	1393	85
942	1394	84
943	1400	83
944	1402	81
945	1403	80
946	1406	78
947	1409	77
948	1410	75
949	1412	74
950	1414	72
951	1415	71
952	1416	69
953	1417	68
954	1419	66
955	1420	65
956	1421	63
957	1424	62
958	1428	61
959	1430	59
960	1431	58
961	1432	56
962	1433	55
963	1434	53
964	1434	52
965	1435	50
966	1436	49
967	1437	47
968	1438	46
969	1439	44
970	1440	43
971	1442	41
972	1443	40
973	1444	38
974	1445	37
975	1446	35
976	1447	34
977	1448	32
978	1448	31
979	1449	29
980	1450	28
981	1451	26
982	1452	25
983	1453	23
984	1454	22
985	1455	20
986	1456	19
987	1458	17
988	1459	16
989	1460	14
990	1461	13
991	1462	11
992	1463	10
993	1464	8
994	1465	7
995	1466	5
996	1467	4
997	1468	2
998	1469	1
999	1470	0
